,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index
32,Has the company implemented measures to ensure MIGRANT worker's rights and to prevent CHILD and forced labour?,7,Hyatt,Tf-Idf + Lemmatizer,We recognize that the hospitality industry can play an important role in preventing the exploitation of women and children.,3,0.0906,171
33,Has the company implemented measures to ensure MIGRANT worker's rights and to prevent CHILD and forced labour?,7,Hyatt,Tf-Idf + Lemmatizer,Our workers compensation insurance provides coverage for employee injuries in the course and scope of employment.,4,0.0885,758
34,Has the company implemented measures to ensure MIGRANT worker's rights and to prevent CHILD and forced labour?,7,Hyatt,Tf-Idf + Lemmatizer,It is with the support of hotel owners and franchisees that new initiatives are implemented at each hotel.,5,0.0884,67
35,Does the company monitor performance indicators to assess its progress compared to its climate related commitments or targets?,8,Hyatt,Tf-Idf + Lemmatizer,"As a result, it may be difficult to use Adjusted EBITDA or similarly named non-GAAP measures that other companies may use to compare the performance of those companies to our performance.",1,0.1243,1309
36,Does the company monitor performance indicators to assess its progress compared to its climate related commitments or targets?,8,Hyatt,Tf-Idf + Lemmatizer,The number of PSs that will ultimately vest with no further restrictions on transfer depends upon the performance of the Company at the end of the applicable three year performance period relative to the applicable performance target.,2,0.1115,1753
37,Does the company monitor performance indicators to assess its progress compared to its climate related commitments or targets?,8,Hyatt,Tf-Idf + Lemmatizer,"PSUs vest and are settled in Class A common stock based upon the performance of the Company through the end of the applicable three year performance period relative to the applicable performance target, and generally subject to continued employment through the applicable performance period.",3,0.1115,1756
38,Does the company monitor performance indicators to assess its progress compared to its climate related commitments or targets?,8,Hyatt,Tf-Idf + Lemmatizer,Hyatt will measure global progress and performance with the support of WWF’s analysis and recommendations.,4,0.1028,386
39,Does the company monitor performance indicators to assess its progress compared to its climate related commitments or targets?,8,Hyatt,Tf-Idf + Lemmatizer,"Our Commitment to Corporate Responsibility Hyatt Thrive is an integral part of our business and we recognize when our people, communities and planet thrive, so does our business.",5,0.0664,642
40,Has the company formalized a commitment policy or program to ensure acceptable working conditions to workers? ,9,Hyatt,Tf-Idf + Lemmatizer,"As part of this effort, we formalized our partnerships with two relief and humanitarian organizations, the American Red Cross and Mercy Corps.",1,0.277,277
41,Has the company formalized a commitment policy or program to ensure acceptable working conditions to workers? ,9,Hyatt,Tf-Idf + Lemmatizer,It would not be acceptable for an event planner to accept a tip from a vendor who might be looking for Hyatt to continue to use their business in the future.,2,0.2249,2110
42,Has the company formalized a commitment policy or program to ensure acceptable working conditions to workers? ,9,Hyatt,Tf-Idf + Lemmatizer,"We maintain insurance coverage for hotels owned by the Company under our insurance programs for liability, property, workers compensation and other risks with respect to our business.",3,0.1839,755
43,Has the company formalized a commitment policy or program to ensure acceptable working conditions to workers? ,9,Hyatt,Tf-Idf + Lemmatizer,"We formalized these previously ad hoc groups in 2011 with Women@Hyatt, a group devoted to further empowering women’s roles at every level of Hyatt; we further expanded in 2012 with HyPride, a group for members and supporters of the LGBT community.",4,0.1593,154
44,Has the company formalized a commitment policy or program to ensure acceptable working conditions to workers? ,9,Hyatt,Tf-Idf + Lemmatizer,Our workers compensation insurance provides coverage for employee injuries in the course and scope of employment.,5,0.1003,758
45,Has the company assessed which facilities are the most vulnerable to increased acute and chronic weather events?,10,Hyatt,Tf-Idf + Lemmatizer,"Our intellectual property is also vulnerable to unauthorized use in some countries outside the United States, where we may not be adequately protected by local law.",1,0.1829,1075
46,Has the company assessed which facilities are the most vulnerable to increased acute and chronic weather events?,10,Hyatt,Tf-Idf + Lemmatizer,Hyatt hotels will also work toward the reduction and elimination of the procurement of highly vulnerable species.,2,0.1516,370
47,Has the company assessed which facilities are the most vulnerable to increased acute and chronic weather events?,10,Hyatt,Tf-Idf + Lemmatizer,The revolving credit facility also provides for a facility fee ranging from 0.100% to 0.250% of the total commitment of the lenders under the revolving credit facility (depending on our credit rating by either S&P or Moody’s).,3,0.1423,1531
48,Has the company assessed which facilities are the most vulnerable to increased acute and chronic weather events?,10,Hyatt,Tf-Idf + Lemmatizer,"We store and process such customer, colleague and company data both at onsite facilities and at third-party owned facilities including, for example, in third-party hosted cloud environments.",4,0.1403,907
49,Has the company assessed which facilities are the most vulnerable to increased acute and chronic weather events?,10,Hyatt,Tf-Idf + Lemmatizer,"Some of our management agreements grant early termination rights to hotel owners upon the occurrence of a stated event, such as the sale of the hotel or our failure to meet a specified performance test (any such event a ""termination event"").",5,0.1198,655
50,Has the company deployed a whistle-blowing system workers to express grievance related to their working conditions?,11,Hyatt,Tf-Idf + Lemmatizer,"Surety Bonds—Surety bonds issued on our behalf were $25 million at December 31, 2016 and primarily relate to workers’ compensation, taxes, licenses and utilities related to our lodging operations.",1,0.1556,1997
51,Has the company deployed a whistle-blowing system workers to express grievance related to their working conditions?,11,Hyatt,Tf-Idf + Lemmatizer,"We maintain insurance coverage for hotels owned by the Company under our insurance programs for liability, property, workers compensation and other risks with respect to our business.",2,0.146,755
52,Has the company deployed a whistle-blowing system workers to express grievance related to their working conditions?,11,Hyatt,Tf-Idf + Lemmatizer,"Our franchise and license agreements require our franchisees and licensees to maintain liability, property, business interruption, workers compensation and other insurance at our franchised or licensed properties.",3,0.1429,762
53,Has the company deployed a whistle-blowing system workers to express grievance related to their working conditions?,11,Hyatt,Tf-Idf + Lemmatizer,"Insurance—We obtain commercial insurance for potential losses for general liability, workers' compensation, automobile liability, employment practices, crime, property and other miscellaneous coverages.",4,0.116,1992
54,Has the company deployed a whistle-blowing system workers to express grievance related to their working conditions?,11,Hyatt,Tf-Idf + Lemmatizer,Our workers compensation insurance provides coverage for employee injuries in the course and scope of employment.,5,0.1147,758
