,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index,Context_Answer
10,"Is the Company involved in agricultural chemistry activities, including the production of nitrogenous potash and phosphate based fertilizers?",3,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The expanded research and development activities in the Agricultural Solutions division range from seeds, including traits, research and breeding capacities, and solutions to protect plants against fungal diseases, insect pests and weeds, to improved soil management and plant health.",1,0.019,824,"With a peak sales potential1 of more than €6 billion, the pipeline includes innovations from all business areas. The expanded research and development activities in the Agricultural Solutions division range from seeds, including traits, research and breeding capacities, and solutions to protect plants against fungal diseases, insect pests and weeds, to improved soil management and plant health. With the acquisition of the Bayer businesses in 2018, our team grew by approximately 1,600 research and development employees at 17 locations worldwide."
11,"Is the Company involved in agricultural chemistry activities, including the production of nitrogenous potash and phosphate based fertilizers?",3,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The businesses acquired include research and development activities for soybean, cotton, canola and vegetable seeds, which optimally complement our crop protection and biotechnology activities.",2,0.0144,285,"Our team grew by around 1,600 research and development employees at 17 sites around the world in 2018 as a result of the acquisition of a range of businesses and assets from Bayer. The businesses acquired include research and development activities for soybean, cotton, canola and vegetable seeds, which optimally complement our crop protection and biotechnology activities. Our three global research divisions are run from our key regions – Europe, Asia Pacific and North America: Process Research & Chemical Engineering (Ludwigshafen, Germany), Advanced Materials & Systems Research (Shanghai, China) and Bioscience Research (Research Triangle Park, North Carolina)."
12,"Is the Company involved in agricultural chemistry activities, including the production of nitrogenous potash and phosphate based fertilizers?",3,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The integration of the business into the Agricultural Solutions division strengthens BASF’s activities in the area of digital agriculture.,3,0.0097,2520,"The company develops agronomic weather, crop and pest models that can rapidly translate data into insights for more efficient agricultural production. The integration of the business into the Agricultural Solutions division strengthens BASF’s activities in the area of digital agriculture. The acquisition strengthened the Construction Chemicals division’s sales channels and its product portfolio, especially in Mexico."
13,"Is the Company involved in agricultural chemistry activities, including the production of nitrogenous potash and phosphate based fertilizers?",3,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Agricultural Solutions segment comprises the Agricultural Solutions division, which was previously known as Crop Protection and was renamed after the acquisition of significant businesses from Bayer and the associated expansion of its portfolio.",4,0.0043,2573,"Its product spectrum includes catalysts and battery materials for the automotive and chemical industries, surface treatments, colors and coatings as well as cement modifications and construction materials. The Agricultural Solutions segment comprises the Agricultural Solutions division, which was previously known as Crop Protection and was renamed after the acquisition of significant businesses from Bayer and the associated expansion of its portfolio. As an integrated provider of crop protection and seeds, Agricultural Solutions will continue to grow, primarily organically through innovation, and through targeted portfolio enhancement."
14,"Is the Company involved in agricultural chemistry activities, including the production of nitrogenous potash and phosphate based fertilizers?",3,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The company develops agronomic weather, crop and pest models that can rapidly translate data into insights for more efficient agricultural production.",5,0.0031,2519,"The largest part of the activities was integrated into the Dispersions & Pigments division and a smaller part into the Coatings division. The company develops agronomic weather, crop and pest models that can rapidly translate data into insights for more efficient agricultural production. The integration of the business into the Agricultural Solutions division strengthens BASF’s activities in the area of digital agriculture."
15,Has the company formalized a commitment (policy or program) to control and reduce pollution (water air and sol)?,4,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,You may acknowledge the principles stated above or demonstrate your commitment via compliance with your own code of conduct or company policies that embrace these standards.,1,0.3118,17,"• You implement an appropriate Compliance Management System, which facilitates compliance with applicable laws, regulations, and standards. You may acknowledge the principles stated above or demonstrate your commitment via compliance with your own code of conduct or company policies that embrace these standards. BASF reserves the right to conduct audits or assessments to ensure your compliance and will take appropriate steps regarding our relationship with you if there is a reason for concern."
16,Has the company formalized a commitment (policy or program) to control and reduce pollution (water air and sol)?,4,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,BASF’s anchoring of the fight against climate change within the company was cited as another reason for the decision.,2,0.0069,1356,"The award is presented to suppliers who distinguish themselves by meeting performance metrics for quality, execution, innovation and total enterprise cost. BASF’s anchoring of the fight against climate change within the company was cited as another reason for the decision. 1 The method used to calculate customers in the previous year has been adjusted to the “sold-to” parties of our consolidated companies."
17,Has the company formalized a commitment (policy or program) to control and reduce pollution (water air and sol)?,4,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We already use internal control processes such as Responsible Care audits to review the degree of adherence with the individual elements of the guideline in BASF Group companies.1 Beyond this, we started to integrate our voluntary commitment into the existing corporate audit process in 2018.",3,0.0045,1337,"Based on our guideline, our management process has been able to improve maternity leave at BASF companies with no statutory require ments or lower requirements than in the BASF guideline, for example. We already use internal control processes such as Responsible Care audits to review the degree of adherence with the individual elements of the guideline in BASF Group companies.1 Beyond this, we started to integrate our voluntary commitment into the existing corporate audit process in 2018. For more information on compliance, see page 140 onward 1 Excluding employees of the businesses acquired from Bayer."
18,Has the company formalized a commitment (policy or program) to control and reduce pollution (water air and sol)?,4,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In associations and together with other manufacturers, BASF is pushing for the establishment of voluntary global commitments to prevent the misuse of chemicals.",4,0.0044,1090,"We train and support our customers in fulfilling their industry or application-specific product requirements. In associations and together with other manufacturers, BASF is pushing for the establishment of voluntary global commitments to prevent the misuse of chemicals. Our risk assessment goals support the implementation of initiatives such as the Global Product Strategy (GPS) of the ICCA."
19,Has the company formalized a commitment (policy or program) to control and reduce pollution (water air and sol)?,4,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Based on international standards, BASF’s Compliance Program combines important laws and company-internal policies – often exceed ing legal requirements – with external voluntary commitments to create a framework that regulates how all BASF employees interact with business partners, officials, colleagues and society.",5,0.0025,1753,"Compliance Program and Code of Conduct ▪ Integrated into corporate values ▪ Regular compliance training for employees. Based on international standards, BASF’s Compliance Program combines important laws and company-internal policies – often exceed ing legal requirements – with external voluntary commitments to create a framework that regulates how all BASF employees interact with business partners, officials, colleagues and society. At the core of our Compliance Program is the global, standardized Code of Conduct received by every employee."
20,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents and to ensure business continuity?,5,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,TUIS TUIS is a German transport accident information and emergency response system jointly operated by around 130 company fire depart ments within the chemical industry and specialists.,1,0.0027,3089,"Traits are commercial plant characteristics, such as an inherent resis tance to certain herbicides or an inherent defense against certain insects. TUIS TUIS is a German transport accident information and emergency response system jointly operated by around 130 company fire depart ments within the chemical industry and specialists. The member companies can be reached by the public authorities at any time and provide assistance over the telephone, expert on-site advice or special technical equipment."
21,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents and to ensure business continuity?,5,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"This secures the long-term success of our company, creates business opportunities and establishes us as a key partner supporting our customers.",2,0.0027,228,"We want to be a thought leader in sustainability and increase the relevance of sustainability in our decision-making processes and business models. This secures the long-term success of our company, creates business opportunities and establishes us as a key partner supporting our customers. We are committed to running our production safely, efficiently and reliably so that we can deliver products to our customers on spec and on time."
22,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents and to ensure business continuity?,5,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Ongoing remediation work around the world continued on schedule and planning was concluded on future remediation projects.,3,0.0026,1202,"This means making customized decisions on a case-by-case basis, founded on the legal framework and current technological possibilities. Ongoing remediation work around the world continued on schedule and planning was concluded on future remediation projects. We are committed to its responsible use along the entire value chain and especially in our production sites’ water catchment areas."
23,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents and to ensure business continuity?,5,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Strategy ▪ Ensuring business success tomorrow by creating value for the environment, society and business ▪ Taking advantage of business opportunities and minimizing risks.",4,0.0011,402,"We understand future sustainability trends and derive appropriate measures for our business to seize business opportunities and minimize risks along the value chain. Strategy ▪ Ensuring business success tomorrow by creating value for the environment, society and business ▪ Taking advantage of business opportunities and minimizing risks. We achieve long-term business success by creating value for the economy, the environment and society."
24,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents and to ensure business continuity?,5,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We are also evaluating strategic options for our construction chemicals business to ensure the successful and profitable development of the business area in the long term, and to take advantage of oppor tunities in the market.",5,0.0009,762,"On September 18, 2017, we signed an agreement with Solvay on the acquisition of Solvay’s integrated polyamide business. We are also evaluating strategic options for our construction chemicals business to ensure the successful and profitable development of the business area in the long term, and to take advantage of oppor tunities in the market. We are considering the possibility of merging with a strong partner as well as the option of a divestiture."
25,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents?,6,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In the event of a production outage – caused by an accident, for example – our global, regional or local emergency response plans and crisis management structures are engaged, depending on the impact scope.",1,0.819,1523,"We reduce the effects of unscheduled shutdowns on the supply of intermediate and end products through diversification within our global production Verbund. In the event of a production outage – caused by an accident, for example – our global, regional or local emergency response plans and crisis management structures are engaged, depending on the impact scope. They not only coordinate the necessary emer- gency response measures, they also initiate the immediate measures for damage control and resumption of normal operations as quickly as possible."
26,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents?,6,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,TUIS TUIS is a German transport accident information and emergency response system jointly operated by around 130 company fire depart ments within the chemical industry and specialists.,2,0.0022,3089,"Traits are commercial plant characteristics, such as an inherent resis tance to certain herbicides or an inherent defense against certain insects. TUIS TUIS is a German transport accident information and emergency response system jointly operated by around 130 company fire depart ments within the chemical industry and specialists. The member companies can be reached by the public authorities at any time and provide assistance over the telephone, expert on-site advice or special technical equipment."
27,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents?,6,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We regularly check our emergency systems, crisis management structures and drill procedures with employees, contractors, local authorities and emergency rescue workers.",3,0.002,1066,"We involve situation-related partners and suppliers as well as cities, communities and neighboring companies. We regularly check our emergency systems, crisis management structures and drill procedures with employees, contractors, local authorities and emergency rescue workers. For example, in 2018 we conducted 224 drills and simulations in Ludwigshafen, Germany, to instruct participants on our emergency response measures."
28,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents?,6,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"As a company in the chemical industry, we are aware of the particular responsibility we have towards our neighbors.",4,0.0019,3126,"Regular audits ensure consistently high standards within the BASF Group in all areas of environmental protection, safety and health protection. As a company in the chemical industry, we are aware of the particular responsibility we have towards our neighbors. A CAP consists of a group of individuals who live near or around a chemical facility and who represent the fabric of their community."
29,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents?,6,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The company therefore contributed significantly to the decrease in noncontrolling interests in losses.,5,0.0017,2651,"Tax liabilities Tax obligations primarily include assessed income taxes and other taxes as well as estimated income taxes not yet assessed for the current year. The company therefore contributed significantly to the decrease in noncontrolling interests in losses. For more information on noncontrolling interests in consolidated companies, see Note 21 on page 239 13 Personnel expenses and employees Personnel expenses."
30,Has the company formalized  a strategy to reduce its greenhouse gas  emissions?,7,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Greenhouse Gas Protocol, used by many companies in different sectors as well as nongovernmental organizations and governments, is a globally recognized standard to quantify and manage greenhouse gas emissions.",1,0.1564,3042,"It was established in 1997 with the aim of developing a guideline for companies’ and organizations’ voluntary reporting on their economic, environmental and social activities. The Greenhouse Gas Protocol, used by many companies in different sectors as well as nongovernmental organizations and governments, is a globally recognized standard to quantify and manage greenhouse gas emissions. The reporting standards and recommendations for implementing projects to reduce emissions are jointly developed by companies, nongovernmental organizations and governments under the guidance of the World Resources Institute and the World Business Council for Sustainable Development."
31,Has the company formalized  a strategy to reduce its greenhouse gas  emissions?,7,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"When deciding on investments and acquisitions, we systematically consider the effects on greenhouse gas emissions.",2,0.0408,1142,"We will compensate for additional emissions with optimization measures at existing plants and a focus on purchasing low carbon energy. When deciding on investments and acquisitions, we systematically consider the effects on greenhouse gas emissions. At sites that produce their own energy, we primarily rely on highly efficient combined heat and power plants targets of the Paris climate accord."
32,Has the company formalized  a strategy to reduce its greenhouse gas  emissions?,7,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We offer our customers solutions that help prevent greenhouse gas emissions and improve energy and resource efficiency.,3,0.0399,1155,We continuously analyze potential risks to our business operations arising in connection with the topics of energy and climate protection and derive appropriate measures. We offer our customers solutions that help prevent greenhouse gas emissions and improve energy and resource efficiency. Around half2 of our total annual research and development spending goes toward developing these products and optimizing our processes.
33,Has the company formalized  a strategy to reduce its greenhouse gas  emissions?,7,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"This is one of the ways in which we intend to identify and carry out improvements in energy efficiency, reducing not only greenhouse gas emissions and saving valuable energy resources, but also increasing the BASF Group’s competitive ability.",4,0.0283,1163,"We will maintain greenhouse gas emissions per metric ton of sales product as an additional reporting indicator. This is one of the ways in which we intend to identify and carry out improvements in energy efficiency, reducing not only greenhouse gas emissions and saving valuable energy resources, but also increasing the BASF Group’s competitive ability. From 2019 onward, we will maintain this goal as a reporting indicator to track our progress in introducing energy management systems."
34,Has the company formalized  a strategy to reduce its greenhouse gas  emissions?,7,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The program targets new technologies to significantly reduce greenhouse gas emissions from production at our Verbund site in Ludwigshafen, Germany.",5,0.0265,1147,"Since 2018, we have bundled global activities to reach our new climate goal and a long-term research and development program under the banner of carbon management. The program targets new technologies to significantly reduce greenhouse gas emissions from production at our Verbund site in Ludwigshafen, Germany. The focus here is on production processes for basic chemicals, which account for the highest share of emissions."
35,"Has the company implemented measures to reduce its greenhouse gas emissions, use of low-carbon energy sources and energy recovery and efficiency system?",8,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"This is one of the ways in which we intend to identify and carry out improvements in energy efficiency, reducing not only greenhouse gas emissions and saving valuable energy resources, but also increasing the BASF Group’s competitive ability.",1,0.948,1163,"We will maintain greenhouse gas emissions per metric ton of sales product as an additional reporting indicator. This is one of the ways in which we intend to identify and carry out improvements in energy efficiency, reducing not only greenhouse gas emissions and saving valuable energy resources, but also increasing the BASF Group’s competitive ability. From 2019 onward, we will maintain this goal as a reporting indicator to track our progress in introducing energy management systems."
36,"Has the company implemented measures to reduce its greenhouse gas emissions, use of low-carbon energy sources and energy recovery and efficiency system?",8,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We offer our customers solutions that help prevent greenhouse gas emissions and improve energy and resource efficiency.,2,0.257,1155,We continuously analyze potential risks to our business operations arising in connection with the topics of energy and climate protection and derive appropriate measures. We offer our customers solutions that help prevent greenhouse gas emissions and improve energy and resource efficiency. Around half2 of our total annual research and development spending goes toward developing these products and optimizing our processes.
37,"Has the company implemented measures to reduce its greenhouse gas emissions, use of low-carbon energy sources and energy recovery and efficiency system?",8,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Through various measures to reduce our raw material and energy requirements, the emission of greenhouse gases associated with producing the raw materials was decreased by a total of around 142,000 metric tons in 2018.",3,0.1859,1188,"We plan our climate protection activities along the value chain based on our corporate carbon footprint. Through various measures to reduce our raw material and energy requirements, the emission of greenhouse gases associated with producing the raw materials was decreased by a total of around 142,000 metric tons in 2018. Our climate protection products help us offer solutions to our customers to avoid greenhouse gas emissions over their entire lifecycle as compared with reference products."
38,"Has the company implemented measures to reduce its greenhouse gas emissions, use of low-carbon energy sources and energy recovery and efficiency system?",8,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Greenhouse Gas Protocol, used by many companies in different sectors as well as nongovernmental organizations and governments, is a globally recognized standard to quantify and manage greenhouse gas emissions.",4,0.0479,3042,"It was established in 1997 with the aim of developing a guideline for companies’ and organizations’ voluntary reporting on their economic, environmental and social activities. The Greenhouse Gas Protocol, used by many companies in different sectors as well as nongovernmental organizations and governments, is a globally recognized standard to quantify and manage greenhouse gas emissions. The reporting standards and recommendations for implementing projects to reduce emissions are jointly developed by companies, nongovernmental organizations and governments under the guidance of the World Resources Institute and the World Business Council for Sustainable Development."
39,"Has the company implemented measures to reduce its greenhouse gas emissions, use of low-carbon energy sources and energy recovery and efficiency system?",8,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"For instance, using renewable feedstock in the methanol production process reduces climate-damaging greenhouse gas emissions by at least 50% compared with conventionally produced methanol.",5,0.036,673,"The European market for methyl-tert-butylether (MTBE), a fuel additive manufactured from methanol, has an annual volume of 20.5 million metric tons. For instance, using renewable feedstock in the methanol production process reduces climate-damaging greenhouse gas emissions by at least 50% compared with conventionally produced methanol. For the methanol certified according to the EU-RedCert standard, BASF completely replaces fossil methane with biomethane made from waste and residual materials."
40,Does the company monitor performance indicators to assess its progress compared to its climate related commitments?,9,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We set ourselves ambitious goals with vol untary commitments and monitor our performance in terms of environmental protection, health and safety using our Responsible Care Management System.",1,0.9468,242,"Our standards fulfill or exceed existing laws and regulations and take internationally recognized principles into account. We set ourselves ambitious goals with vol untary commitments and monitor our performance in terms of environmental protection, health and safety using our Responsible Care Management System. In terms of labor and social standards, this takes place using three elements: the Compliance Program (including the compli ance hotlines, which can be used for internal and external questions or complaints), close dialog with our stakeholders (such as with employee representatives or international organizations), and the global management process to respect international labor norms."
41,Does the company monitor performance indicators to assess its progress compared to its climate related commitments?,9,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,They also pursue comprehen sive approaches in managing the opportunities and risks associated with climate change as well as emissions reduction strategies to achieve company-wide goals.,2,0.1011,1160,"Companies on the Leader ship level are distinguished by factors such as the completeness and transparency of their reporting. They also pursue comprehen sive approaches in managing the opportunities and risks associated with climate change as well as emissions reduction strategies to achieve company-wide goals. In 2018, we started comparing our annual reporting with the TCFD’s recommendations and identifying potential action areas."
42,Does the company monitor performance indicators to assess its progress compared to its climate related commitments?,9,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"– Until the end of 2017, the key performance indicator for the company’s success and variable compensation was the return on assets (ROA).",3,0.0132,1803,"The payment of one part of the performance bonus only occurs after the end of the four-year performance period. – Until the end of 2017, the key performance indicator for the company’s success and variable compensation was the return on assets (ROA). From 2018 onward, it is replaced by the return on capital employed (ROCE), which serves as a consistent key performance indicator for determining variable compensation for all other employee groups as well."
43,Does the company monitor performance indicators to assess its progress compared to its climate related commitments?,9,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The ROCE of the particular financial year serves as the key performance indicator for the success of the company when determining the performance bonus.,4,0.0083,1841,"An operational performance factor and a strategic performance factor, each with a value between 0 and 1.5, are determined on the basis of the target achievement ascertained by the Supervisory Board. The ROCE of the particular financial year serves as the key performance indicator for the success of the company when determining the performance bonus. ROCE is the ratio of income from operations (EBIT) of the segments in relation to the average operating assets of the segments,1 plus the customer and supplier financing not included there."
44,Does the company monitor performance indicators to assess its progress compared to its climate related commitments?,9,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,BASF’s anchoring of the fight against climate change within the company was cited as another reason for the decision.,5,0.006,1356,"The award is presented to suppliers who distinguish themselves by meeting performance metrics for quality, execution, innovation and total enterprise cost. BASF’s anchoring of the fight against climate change within the company was cited as another reason for the decision. 1 The method used to calculate customers in the previous year has been adjusted to the “sold-to” parties of our consolidated companies."
45,Does the company monitor performance indicators to assess its progress with regard to energy consumption  per tons produced?,10,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"For BASF as an energy-intensive company, these arise particularly from regulatory changes, such as in carbon prices through emissions trading systems, taxes or energy legislation.",1,0.0047,1627,"For example, the material topic “energy and climate” is analyzed to enable us to identify, assess and manage climate-related risks and opportunities. For BASF as an energy-intensive company, these arise particularly from regulatory changes, such as in carbon prices through emissions trading systems, taxes or energy legislation. This includes its organization, values, corporate principles and guidelines as well as internal and external control and monitoring mechanisms."
46,Does the company monitor performance indicators to assess its progress with regard to energy consumption  per tons produced?,10,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Through various measures to reduce our raw material and energy requirements, the emission of greenhouse gases associated with producing the raw materials was decreased by a total of around 142,000 metric tons in 2018.",2,0.0027,1188,"We plan our climate protection activities along the value chain based on our corporate carbon footprint. Through various measures to reduce our raw material and energy requirements, the emission of greenhouse gases associated with producing the raw materials was decreased by a total of around 142,000 metric tons in 2018. Our climate protection products help us offer solutions to our customers to avoid greenhouse gas emissions over their entire lifecycle as compared with reference products."
47,Does the company monitor performance indicators to assess its progress with regard to energy consumption  per tons produced?,10,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"SO2 off-gas emissions are also reduced, resulting in a significant decrease in SO2 emissions per metric ton of sulfuric acid produced and providing our customers with a comparative advantage in a very competitive market.",3,0.0026,370,"For sulfuric acid producers, this translates into increased capacity and improved performance in plants with limited catalyst volumes. SO2 off-gas emissions are also reduced, resulting in a significant decrease in SO2 emissions per metric ton of sulfuric acid produced and providing our customers with a comparative advantage in a very competitive market. Targeted for use in retail and light industry spaces, MasterTop TC 941 has excellent aesthetic durability, which reduces cleaning and maintenance bills and leads to a lower cost of ownership for the customer over the life of the floor."
48,Does the company monitor performance indicators to assess its progress with regard to energy consumption  per tons produced?,10,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We were able to further optimize the resource and energy consumption of our production in numerous projects around the world in 2018.,4,0.0023,1178,"With combined power and steam generation as well as our continuously enhanced Energy Verbund, we were thus able to prevent a total of 6.3 million metric tons of carbon emissions in 2018. We were able to further optimize the resource and energy consumption of our production in numerous projects around the world in 2018. For example, a new boiler was installed at the McIntosh site in Alabama to generate steam from production residues that were previously disposed of externally, saving primary energy."
