,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index,Context_Answer
10,"Is the Company involved in agricultural chemistry activities, including the production of nitrogenous potash and phosphate based fertilizers?",3,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In addition, the Company enters into collaboration arrangements that contain multiple revenue generating activities.",1,0.0098,1894,"We may particularly rely on third parties in developing countries, including for the sales, marketing and distribution of our products, and to obtain the intermediate and raw materials used in the manufacture of our products. In addition, the Company enters into collaboration arrangements that contain multiple revenue generating activities. In addition, governments and the public are increasingly placing pressure on major corporations, including Novartis, to take responsibility for compliance with human rights and appropriate environmental practices, as well as other actions, of their third-party contractors around the world."
11,"Is the Company involved in agricultural chemistry activities, including the production of nitrogenous potash and phosphate based fertilizers?",3,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"These collaborations usually involve various activities by one or more parties, including research and development, marketing and selling and distribution.",2,0.0075,1645,"Operating and Financial Review and Prospects,” together with the sections on products in development and key development projects of our businesses (see “Item 4. These collaborations usually involve various activities by one or more parties, including research and development, marketing and selling and distribution. Unless the context requires otherwise, the words “we,” “our,” “us,” “Novartis,” “Group,” “Company,” and similar words or phrases in this Annual Report refer to Novartis AG and its consolidated affiliates."
12,"Is the Company involved in agricultural chemistry activities, including the production of nitrogenous potash and phosphate based fertilizers?",3,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The Company’s business is heavily regulated and therefore involves significant interaction with foreign officials.,3,0.0068,1658,"Financial Statements” in this Form 20-F. All financial data should be read in conjunction with “Item 5. The Company’s business is heavily regulated and therefore involves significant interaction with foreign officials. In addition, a combined consumer healthcare business was created through the combination of the Novartis OTC and GlaxoSmithKline (GSK) Consumer Healthcare businesses."
13,"Is the Company involved in agricultural chemistry activities, including the production of nitrogenous potash and phosphate based fertilizers?",3,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In all of their product lines, the Company’s subsidiaries compete with companies both locally and globally.",4,0.0046,1553,"At these sites the quantity and temperature of the water is important for the efficiency of cooling rather than the water quality. In all of their product lines, the Company’s subsidiaries compete with companies both locally and globally. We estimated that energy and related GHG emissions would increase be 20-30% at these sites, if water was not available anymore for cooling."
14,"Is the Company involved in agricultural chemistry activities, including the production of nitrogenous potash and phosphate based fertilizers?",3,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In all of its product lines, the Company competes with companies both locally and globally, throughout the world.",5,0.0042,1557,"With this approach to use water for cooling instead of electricity, these sites effectively contribute to the Novartis energy efficiency program and to the related GHG targets. In all of its product lines, the Company competes with companies both locally and globally, throughout the world. Increased energy efficiency Description of linkage/tradeoff Currently 2 sites have installed wastewater treatment technology based on fine-bubble diffused aeration."
15,Has the company formalized a commitment (policy or program) to control and reduce pollution (water air and sol)?,4,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Our Company has comprehensive policies, procedures and required training that help employees comply with laws and regulations.",1,0.0446,2696,"If we or our third-party suppliers fail to comply fully with regulations, then there could be a product recall or other shutdown or disruption of our production activities. Our Company has comprehensive policies, procedures and required training that help employees comply with laws and regulations. We have implemented a global manufacturing strategy to maximize business continuity in case of such events."
16,Has the company formalized a commitment (policy or program) to control and reduce pollution (water air and sol)?,4,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"While we aim to achieve outcomes in all of the Company’s s work, the identified targets for the SDG commitment are reflective of the Company’s reach — individuals whose lives may benefit from our combined efforts with our partners.",2,0.0252,124,"While the costs to manage the existing EU ETS scheme within the company are limited, the expansion of schemes into other markets will require additional management focus and efforts. While we aim to achieve outcomes in all of the Company’s s work, the identified targets for the SDG commitment are reflective of the Company’s reach — individuals whose lives may benefit from our combined efforts with our partners. Direct operations Risk type Transition risk Primary climate-related risk driver Policy and legal: Enhanced emissions-reporting obligations Type of financial impact driver Policy and legal: Increased operating costs (e.g., higher compliance costs, increased insurance premiums) Company- specific descriptio."
17,Has the company formalized a commitment (policy or program) to control and reduce pollution (water air and sol)?,4,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The Company is committed to bringing its full breadth and depth to ensure health for people today and for future generations.,3,0.0185,1746,"We could be impacted by new laws and regulations, and by failures to comply with law, legal proceedings and government investigations. The Company is committed to bringing its full breadth and depth to ensure health for people today and for future generations. Such legal requirements can vary from country to country, and new requirements may be imposed on us from time to time as a result of changing government and public expectations regarding the healthcare industry, and acceptable corporate behavior generally."
18,Has the company formalized a commitment (policy or program) to control and reduce pollution (water air and sol)?,4,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In response to these concerns, the Company has a long-standing policy of pricing products responsibly.",4,0.0046,1924,"However, mechanisms developed to resolve such conflicting claims are largely untried, and can be expected to be very lengthy. In response to these concerns, the Company has a long-standing policy of pricing products responsibly. As part of this, the Organization for Economic Co-operation and Development (OECD) has proposed a number of tax law changes under its Base Erosion and Profit Shifting (BEPS) Action Plans to address issues of transparency, coherence and substance."
19,Has the company formalized a commitment (policy or program) to control and reduce pollution (water air and sol)?,4,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We have processes, guidance and procedures in place to help you follow this Code, Company policy and the law.",5,0.0041,2681,"These lenses offer clear, seamless vision at all distances and combine the innovative Air Optix multifocal design with lasting lens surface moisture provided by the HydraGlyde moisture matrix. We have processes, guidance and procedures in place to help you follow this Code, Company policy and the law. In addition, Alcon provides advanced viscoelastics, surgical solutions, surgical packs, diagnostic ophthalmics, and other disposable products for cataract and vitreoretinal surgery."
20,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents and to ensure business continuity?,5,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Ensuring Business Continuity:Our businesses are required to maintain a strong business continuity management program with centralized coordination and crisis management for regional events.,1,0.8492,584,Carbon pricing 	C11.1 	(C11.1) Are any of your operations or activities regulated by a carbon pricing system (i.e. Ensuring Business Continuity:Our businesses are required to maintain a strong business continuity management program with centralized coordination and crisis management for regional events. Allowances purchased 	Verified emissions in metric tons CO2e 	Details of ownership 	Comment 	C11.1d 	(C11.1d) What is your strategy for complying with the systems in which you participate or anticipate participating?
21,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents and to ensure business continuity?,5,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Interruptions and delays in manufacturing operations could adversely affect the Company’s business, sales and reputation.",2,0.1254,1662,"2 Cash dividends represent cash payments in the applicable year that generally relates to earnings of the previous year. Interruptions and delays in manufacturing operations could adversely affect the Company’s business, sales and reputation. 4 Personnel cost include wages, salaries, allowances, commissions and bonuses to staff, overtime, awards, holiday pay, severance payments and social welfare expenses."
22,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents and to ensure business continuity?,5,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"However, the Company currently does not believe that these and other related effects will have a material impact on the Company’s consolidated financial position or operating results.",3,0.0143,1932,"Switzerland is in the process of considering the implementation of corporate tax reform, which could become effective as early as the first quarter of 2019. However, the Company currently does not believe that these and other related effects will have a material impact on the Company’s consolidated financial position or operating results. There is also a risk that the EU may not be satisfied with the outcome of Switzerland’s tax reform efforts, and take steps to seek further changes."
23,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents and to ensure business continuity?,5,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Company continually assesses these threats and makes investments to increase internal protection, detection, and response capabilities, as well as ensure the Company’s third party providers have required capabilities and controls, to address this risk.",4,0.0075,1925,"In recent years, tax authorities around the world have increased their scrutiny of company tax filings, and have become more rigid in exercising any discretion they may have. The Company continually assesses these threats and makes investments to increase internal protection, detection, and response capabilities, as well as ensure the Company’s third party providers have required capabilities and controls, to address this risk. At the same time, the European Commission is finalizing its Anti Tax Avoidance Directive, which seeks to prevent tax avoidance by companies and to ensure that companies pay appropriate taxes in the markets where profits are effectively made and business is effectively performed."
24,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents and to ensure business continuity?,5,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,These rights are essential to the Company’s businesses and materially important to the Company’s results of operations.,5,0.0067,1608,Explanation of financial impact 	Type of opportunity 	Primary water-related opportunity 	Company-specific description & strategy to realize opportunity 	Estimated timeframe for realization 	Magnitude of potential financial impact 	Potential financial impact. These rights are essential to the Company’s businesses and materially important to the Company’s results of operations. Explanation of financial impact 	Type of opportunity 	Primary water-related opportunity 	Company-specific description & strategy to realize opportunity 	Estimated timeframe for realization 	Magnitude of potential financial impact 	Potential financial impact.
25,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents?,6,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The Company faces a number of uncertainties and risks that are difficult to predict and many of which are outside of the Company’s control.,1,0.0843,1740,"The growth of overall healthcare costs as a percentage of gross domestic product in many countries means that governments and payers are under intense pressure to control healthcare spending even more tightly than in the past. The Company faces a number of uncertainties and risks that are difficult to predict and many of which are outside of the Company’s control. These pressures are further compounded by significant controversies and intense political debate and publicity about prices for pharmaceuticals that some consider excessive, including government regulatory efforts, funding restrictions, legislative proposals, policy interpretations, investigations and legal proceedings regarding pharmaceutical pricing practices."
26,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents?,6,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"However, the Company currently does not believe that these and other related effects will have a material impact on the Company’s consolidated financial position or operating results.",2,0.01,1932,"Switzerland is in the process of considering the implementation of corporate tax reform, which could become effective as early as the first quarter of 2019. However, the Company currently does not believe that these and other related effects will have a material impact on the Company’s consolidated financial position or operating results. There is also a risk that the EU may not be satisfied with the outcome of Switzerland’s tax reform efforts, and take steps to seek further changes."
27,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents?,6,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In addition, the Company’s Law Department provides direct guidance and training on the Company’s policies.",3,0.0045,1750,"These laws and regulations include requirements that we disclose payments or other transfers of value made to healthcare professionals and organizations, as well as information relating to the prices for our products. In addition, the Company’s Law Department provides direct guidance and training on the Company’s policies. In addition, companies and executives in our industry continue to face significant government investigations, legal proceedings and law enforcement activities, both in the US and in countries around the world."
28,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents?,6,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Company does not undertake to publicly update any forward-looking statement that may be made from time to time, whether as a result of new information or future events or developments.",4,0.0027,1874,"Sudden increases in economic, currency or financial market volatility in different countries have also impacted, and may continue to unpredictably impact, our business or results of operations, including the conversion of our operating results into our reporting currency, the US dollar, as well as the value of our investments in our pension plans. The Company does not undertake to publicly update any forward-looking statement that may be made from time to time, whether as a result of new information or future events or developments. See also “—Our business is affected by pressures on pricing and reimbursement for our products,” above, and “Item 5."
29,Does the company have an emergency plan and a remediation plan to cope with the consequences of industrial accidents?,6,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The Company is negotiating settlements of these cases and the related costs are reflected in the Company’s accruals.,5,0.0015,1608,Explanation of financial impact 	Type of opportunity 	Primary water-related opportunity 	Company-specific description & strategy to realize opportunity 	Estimated timeframe for realization 	Magnitude of potential financial impact 	Potential financial impact. The Company is negotiating settlements of these cases and the related costs are reflected in the Company’s accruals. Explanation of financial impact 	Type of opportunity 	Primary water-related opportunity 	Company-specific description & strategy to realize opportunity 	Estimated timeframe for realization 	Magnitude of potential financial impact 	Potential financial impact.
30,Has the company formalized  a strategy to reduce its greenhouse gas  emissions?,7,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We have a long history of innovation and leadership in energy management, and have taken sustained, long-term action to reduce our greenhouse gas (GHG) emissions.",1,0.0349,1164,"This includes transparent and timely communication in the case of product safety or quality issues (e.g., prompt product recalls). We have a long history of innovation and leadership in energy management, and have taken sustained, long-term action to reduce our greenhouse gas (GHG) emissions. Example: raw material, subcontracted manufacturing services, packaging 2 All suppliers necessary to run an organization, such as utilities, IT hardware/software, furniture, capital expenditure, marketing supplies, etc."
31,Has the company formalized  a strategy to reduce its greenhouse gas  emissions?,7,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"For example, through our Sustainable Procurement Program, we encourage our suppliers to set, and to report on, the progress of public environmental goals, including targets related to energy use and carbon emissions reduction.",2,0.0037,1184,"We believe that the evidence we have obtained is sufficient and appropriate to provide a basis for our assurance conclusions. For example, through our Sustainable Procurement Program, we encourage our suppliers to set, and to report on, the progress of public environmental goals, including targets related to energy use and carbon emissions reduction. We provide healthcare solutions that address the evolving needs of patients and societies worldwide."
32,Has the company formalized  a strategy to reduce its greenhouse gas  emissions?,7,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,• Further enhance supplier engagement programs to encourage suppliers to reduce their GHG emissions associated with our purchased goods and services.,3,0.003,1154,"Examples may include responding to the needs of low-income patients and to the growing healthcare burden of noncommunicable diseases (NCDs). • Further enhance supplier engagement programs to encourage suppliers to reduce their GHG emissions associated with our purchased goods and services. Examples may include using big data analysis or developing personalized healthcare solutions (e.g., products with companion diagnostic tests), and improving health solutions based on data collected by wearables."
33,Has the company formalized  a strategy to reduce its greenhouse gas  emissions?,7,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,World Business Council for Sustainable Development (WBCSD)/World Resources Institute (WRI) Greenhouse Gas (GHG) Protocol for Greenhouse Gas emissions.,4,0.0029,1283,"In 2018 we focus on the water data, used more “meaningful” questions and aligned them with the KPIs we intend to use as an indicator of the environmental water performance of our suppliers. World Business Council for Sustainable Development (WBCSD)/World Resources Institute (WRI) Greenhouse Gas (GHG) Protocol for Greenhouse Gas emissions. Impact of the engagement and measures of success Novartis is engaging with its suppliers through capability building webinars such as the CDP Supply Chain lead member service."
34,Has the company formalized  a strategy to reduce its greenhouse gas  emissions?,7,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Johnson & Johnson participates in the U.S. EPA's SmartWay program, which helps companies voluntarily increase transportation energy efficiency while decreasing GHG emissions and air pollution.",5,0.0022,1186,"We provide healthcare solutions that address the evolving needs of patients and societies worldwide. Johnson & Johnson participates in the U.S. EPA's SmartWay program, which helps companies voluntarily increase transportation energy efficiency while decreasing GHG emissions and air pollution. Rapidly aging populations and the growth in chronic illnesses such as heart disease and cancer continue to increase demand for care and put pressure on health systems around the world."
35,"Has the company implemented measures to reduce its greenhouse gas emissions, use of low-carbon energy sources and energy recovery and efficiency system?",8,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We focus our energy and carbon efficiency work on three main areas: reducing energy demand and maximizing energy efficiency in our operations; shifting to low-carbon and renewable energy sources to meet the remaining demand; and improving our influence over emissions in our value chain.,1,0.9082,1165,"We work closely with trade associations, which create opportunities to raise industry standards and exchange best practice. We focus our energy and carbon efficiency work on three main areas: reducing energy demand and maximizing energy efficiency in our operations; shifting to low-carbon and renewable energy sources to meet the remaining demand; and improving our influence over emissions in our value chain. 3 Suppliers with whom we have a direct contractual relationship pertaining to the delivery of goods and services 4 The sum of individual country totals is larger than the grand total because one supplier can serve multiple countries."
36,"Has the company implemented measures to reduce its greenhouse gas emissions, use of low-carbon energy sources and energy recovery and efficiency system?",8,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We have a long history of innovation and leadership in energy management, and have taken sustained, long-term action to reduce our greenhouse gas (GHG) emissions.",2,0.0728,1164,"This includes transparent and timely communication in the case of product safety or quality issues (e.g., prompt product recalls). We have a long history of innovation and leadership in energy management, and have taken sustained, long-term action to reduce our greenhouse gas (GHG) emissions. Example: raw material, subcontracted manufacturing services, packaging 2 All suppliers necessary to run an organization, such as utilities, IT hardware/software, furniture, capital expenditure, marketing supplies, etc."
37,"Has the company implemented measures to reduce its greenhouse gas emissions, use of low-carbon energy sources and energy recovery and efficiency system?",8,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Johnson & Johnson participates in the U.S. EPA's SmartWay program, which helps companies voluntarily increase transportation energy efficiency while decreasing GHG emissions and air pollution.",3,0.019,1186,"We provide healthcare solutions that address the evolving needs of patients and societies worldwide. Johnson & Johnson participates in the U.S. EPA's SmartWay program, which helps companies voluntarily increase transportation energy efficiency while decreasing GHG emissions and air pollution. Rapidly aging populations and the growth in chronic illnesses such as heart disease and cancer continue to increase demand for care and put pressure on health systems around the world."
38,"Has the company implemented measures to reduce its greenhouse gas emissions, use of low-carbon energy sources and energy recovery and efficiency system?",8,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Company faces increasing regulatory scrutiny which imposes significant compliance costs and exposes the Company to government investigations, legal actions and penalties.",4,0.0184,1638,"Quantitative and Qualitative Disclosures About Market Risk ....................................................................................216 Item 12. The Company faces increasing regulatory scrutiny which imposes significant compliance costs and exposes the Company to government investigations, legal actions and penalties. Material Modifications to the Rights of Security Holders and Use of Proceeds .............................................220 Item 15."
39,"Has the company implemented measures to reduce its greenhouse gas emissions, use of low-carbon energy sources and energy recovery and efficiency system?",8,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The Company faces a number of uncertainties and risks that are difficult to predict and many of which are outside of the Company’s control.,5,0.0156,1573,W-FI (W-FI) Use this field to provide any additional information or context that you feel is relevant to your organization's response. The Company faces a number of uncertainties and risks that are difficult to predict and many of which are outside of the Company’s control. This is confidential SW1.2 (SW1.2) Are you able to provide geolocation data for your site facilities not already reported in W5.1?
40,Does the company monitor performance indicators to assess its progress compared to its climate related commitments?,9,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In addition to this Report, we disclose our performance against these public commitments in the CDP Climate Change Report.",1,0.8862,1166,"Example: raw material, subcontracted manufacturing services, packaging 2 All suppliers necessary to run an organization, such as utilities, IT hardware/software, furniture, capital expenditure, marketing supplies, etc. In addition to this Report, we disclose our performance against these public commitments in the CDP Climate Change Report. Suppliers are counted for each country they serve, but they are counted only once for the grand total."
41,Does the company monitor performance indicators to assess its progress compared to its climate related commitments?,9,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"This non-GAAP financial measure is presented to permit investors to more fully understand how management assesses the performance of the Company, including for internal evaluation of the performance of the Company’s businesses and planning and forecasting for future periods.",2,0.0245,2635,"For generic applicants who are the first to file their ANDA containing a certification claiming non-infringement or patent invalidity, the Hatch-Waxman Act provides those applicants with Item 4. This non-GAAP financial measure is presented to permit investors to more fully understand how management assesses the performance of the Company, including for internal evaluation of the performance of the Company’s businesses and planning and forecasting for future periods. However, generic applicants must launch their products within certain timeframes or risk losing the marketing exclusivity that they had gained by being a first-to-file applicant."
42,Does the company monitor performance indicators to assess its progress compared to its climate related commitments?,9,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Management uses these measures internally for planning, forecasting and evaluating the performances of the Company’s businesses, including allocating resources and evaluating results relative to employee performance compensation targets.",3,0.0178,2627,"In 2018, the divestment of the Boucherville, Canada, development (and associated manufacturing) facility to Avara Pharmaceutical Services was announced and subsequently completed, including a long-term agreement to secure supply of key products to the Canadian market. Management uses these measures internally for planning, forecasting and evaluating the performances of the Company’s businesses, including allocating resources and evaluating results relative to employee performance compensation targets. The Hatch-Waxman Act in the US (and similar legislation in the EU and in other countries) eliminated the requirement that manufacturers of generic pharmaceuticals repeat the extensive clinical trials required for reference products, so long as the generic version could be shown in bioequivalence studies to be of identical quality and purity, and to be therapeutically equivalent to the reference product."
43,Does the company monitor performance indicators to assess its progress compared to its climate related commitments?,9,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,• Earned a place on CDP’s Climate Change A List among companies demonstrating global leadership on corporate climate action.,4,0.0094,1150,"Systems to ensure that the personally identifiable information of patients, employees, consumers and others is responsibly and securely collected, transferred and stored. • Earned a place on CDP’s Climate Change A List among companies demonstrating global leadership on corporate climate action. This includes the research of new compounds but also the modification of existing medicines (i.e., to improve access or efficacy for poor and specifically vulnerable patient groups)."
44,Does the company monitor performance indicators to assess its progress compared to its climate related commitments?,9,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"While we aim to achieve outcomes in all of the Company’s s work, the identified targets for the SDG commitment are reflective of the Company’s reach — individuals whose lives may benefit from our combined efforts with our partners.",5,0.0072,124,"While the costs to manage the existing EU ETS scheme within the company are limited, the expansion of schemes into other markets will require additional management focus and efforts. While we aim to achieve outcomes in all of the Company’s s work, the identified targets for the SDG commitment are reflective of the Company’s reach — individuals whose lives may benefit from our combined efforts with our partners. Direct operations Risk type Transition risk Primary climate-related risk driver Policy and legal: Enhanced emissions-reporting obligations Type of financial impact driver Policy and legal: Increased operating costs (e.g., higher compliance costs, increased insurance premiums) Company- specific descriptio."
45,Does the company monitor performance indicators to assess its progress with regard to energy consumption  per tons produced?,10,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The Company faces a number of uncertainties and risks that are difficult to predict and many of which are outside of the Company’s control.,1,0.0024,1553,"At these sites the quantity and temperature of the water is important for the efficiency of cooling rather than the water quality. The Company faces a number of uncertainties and risks that are difficult to predict and many of which are outside of the Company’s control. We estimated that energy and related GHG emissions would increase be 20-30% at these sites, if water was not available anymore for cooling."
